,Station,Depth_m,PAR_irradiance_Einm2-d1,PAR0+_Einm2-d1,Ratio_of_under_ice_PAR_to_surface_PAR,Ratio_of_openwater_PAR_to_surface_PAR,IceConcentration_percent,Sampled_under_ice_or_in_open_water
4434,303.0,48.0,0.06493272137892599,34.812287999999995,NaN,0.0018652241811548266,0.0,OW
4435,303.0,48.5,0.059196077803682745,34.812287999999995,NaN,0.00170043628857956,0.0,OW
4436,303.0,49.0,0.053953914416604166,34.812287999999995,NaN,0.0015498525812668266,0.0,OW
4437,303.0,49.5,0.0491747055016806,34.812287999999995,NaN,0.0014125674676045599,0.0,OW
4438,303.0,50.0,0.04483118360592885,34.812287999999995,NaN,0.0012877976766689067,0.0,OW
4439,303.0,51.0,0.03735477403562248,34.812287999999995,NaN,0.0010730341549404188,0.0,OW
4440,303.0,52.0,0.03125901585286743,34.812287999999995,NaN,0.0008979305196161607,0.0,OW
4441,303.0,53.0,0.026254478347814768,34.812287999999995,NaN,0.0007541727319909213,0.0,OW
4442,303.0,54.0,0.022150174568891727,34.812287999999995,NaN,0.0006362745984662579,0.0,OW
4443,303.0,55.0,0.01878030226825801,34.812287999999995,NaN,0.0005394733683766493,0.0,OW
4444,303.0,56.0,0.01599291376080895,34.812287999999995,NaN,0.00045940427014762596,0.0,OW
4445,303.0,57.0,0.013674907914800926,34.812287999999995,NaN,0.00039281841845043133,0.0,OW
4446,303.0,58.0,0.011729835090970886,34.812287999999995,NaN,0.00033694525022230333,0.0,OW
4447,303.0,59.0,0.0100856940439705,34.812287999999995,NaN,0.00028971649447374735,0.0,OW
4448,303.0,60.0,0.00870820839131977,34.812287999999995,NaN,0.00025014754535294465,0.0,OW
4449,303.0,61.0,0.0075690172518211975,34.812287999999995,NaN,0.00021742372267577467,0.0,OW
4450,303.0,62.0,0.00659496654584745,34.812287999999995,NaN,0.00018944363972421034,0.0,OW
4451,303.0,63.0,0.005745468271352485,34.812287999999995,NaN,0.0001650413862872927,0.0,OW
4452,303.0,64.0,0.005017432719234907,34.812287999999995,NaN,0.00014412820895986234,0.0,OW
4453,303.0,65.0,0.004393889015211692,34.812287999999995,NaN,0.000126216611077436,0.0,OW
4454,309.0,0.0,NaN,37.467648000000004,NaN,NaN,0.0,OW
4455,309.0,0.01,35.527817793333156,37.467648000000004,NaN,0.9482265284795339,0.0,OW
4456,309.0,0.02,35.447783269944104,37.467648000000004,NaN,0.9460904316690523,0.0,OW
4457,309.0,0.03,35.36803563512547,37.467648000000004,NaN,0.9439619918262676,0.0,OW
4458,309.0,0.04,35.28857387505492,37.467648000000004,NaN,0.9418411818925735,0.0,OW
4459,309.0,0.05,35.20939695822429,37.467648000000004,NaN,0.9397279743373347,0.0,OW
4460,309.0,0.06,35.13050383714885,37.467648000000004,NaN,0.9376223412035056,0.0,OW
4461,309.0,0.07,35.05189344993245,37.467648000000004,NaN,0.9355242541494052,0.0,OW
4462,309.0,0.08,34.973564721701756,37.467648000000004,NaN,0.933433684486994,0.0,OW
4463,309.0,0.09,34.89551656592365,37.467648000000004,NaN,0.9313506032170381,0.0,OW
4464,309.0,0.1,34.81774788561682,37.467648000000004,NaN,0.9292749810614431,0.0,OW
4465,309.0,0.11,34.740257574464025,37.467648000000004,NaN,0.9272067884929426,0.0,OW
4466,309.0,0.12,34.663044517838614,37.467648000000004,NaN,0.9251459957624938,0.0,OW
4467,309.0,0.13,34.58610759374935,37.467648000000004,NaN,0.923092572924496,0.0,OW
4468,309.0,0.14,34.50944567371323,37.467648000000004,NaN,0.9210464898600846,0.0,OW
4469,309.0,0.15,34.43305762356104,37.467648000000004,NaN,0.9190077162986326,0.0,OW
4470,309.0,0.16,34.35694230418274,37.467648000000004,NaN,0.9169762218376434,0.0,OW
4471,309.0,0.17,34.281098572216045,37.467648000000004,NaN,0.914951975961129,0.0,OW
4472,309.0,0.18,34.205525280685876,37.467648000000004,NaN,0.9129349480566774,0.0,OW
4473,309.0,0.19,34.130221279595816,37.467648000000004,NaN,0.9109251074312379,0.0,OW
4474,309.0,0.2,34.055185416477165,37.467648000000004,NaN,0.9089224233257759,0.0,OW
4475,309.0,0.21,33.980416536898424,37.467648000000004,NaN,0.9069268649288693,0.0,OW
4476,309.0,0.22,33.90591348493968,37.467648000000004,NaN,0.9049384013893714,0.0,OW
4477,309.0,0.23,33.83167510363223,37.467648000000004,NaN,0.9029570018281431,0.0,OW
4478,309.0,0.24,33.75770023536858,37.467648000000004,NaN,0.900982635348997,0.0,OW
4479,309.0,0.25,33.68398772228368,37.467648000000004,NaN,0.8990152710488707,0.0,OW
4480,309.0,0.26,33.61053640660971,37.467648000000004,NaN,0.8970548780272973,0.0,OW
4481,309.0,0.27,33.53734513100771,37.467648000000004,NaN,0.895101425395256,0.0,OW
4482,309.0,0.28,33.464412738875666,37.467648000000004,NaN,0.8931548822833947,0.0,OW
4483,309.0,0.29,33.39173807463646,37.467648000000004,NaN,0.8912152178497154,0.0,OW
4484,309.0,0.3,33.31931998400706,37.467648000000004,NaN,0.8892824012867596,0.0,OW
4485,309.0,0.31,33.24715731449628,37.467648000000004,NaN,0.8873564018348917,0.0,OW
4486,309.0,0.32,33.175248916223026,37.467648000000004,NaN,0.885437188804139,0.0,OW
4487,309.0,0.33,33.10359364194689,37.467648000000004,NaN,0.883524731575008,0.0,OW
4488,309.0,0.34,33.03219034680127,37.467648000000004,NaN,0.8816189995913613,0.0,OW
4489,309.0,0.35,32.961037888219394,37.467648000000004,NaN,0.879719962358443,0.0,OW
